[Lionel Messi] | [InterMiami] | [2024] | Goals: 14 | Assists: 11
[Lionel Messi] | [InterMiami] | [2023] | Goals: 11 | Assists: 5
[Lionel Messi] | [PSG] | [2022/2023] | Goals: 21 | Assists: 20
[Lionel Messi] | [PSG] | [2021/2022] | Goals: 11 | Assists: 14
[Lionel Messi] | [Barcelona] | [2020/2021] | Goals: 38 | Assists: 12
[Lionel Messi] | [Barcelona] | [2019/2020] | Goals: 31 | Assists: 25
[Lionel Messi] | [Barcelona] | [2018/2019] | Goals: 51 | Assists: 19
[Lionel Messi] | [Barcelona] | [2017/2018] | Goals: 45 | Assists: 18
[Lionel Messi] | [Barcelona] | [2016/2017] | Goals: 54 | Assists: 16
[Cristiano Ronaldo] | [AL Nassr] | [2023/2024] | Goals: 50 | Assists: 13
[Cristiano Ronaldo] | [AL Nassr] | [2022/2023] | Goals: 14 | Assists: 2
[Cristiano Ronaldo] | [Man United] | [2021/2022] | Goals: 3 | Assists: 2
[Cristiano Ronaldo] | [Man United] | [2020/2021] | Goals: 24 | Assists: 3
[Cristiano Ronaldo] | [Juventus] | [2019/2020] | Goals: 0 | Assists: 0
[Cristiano Ronaldo] | [Juventus] | [2018/2019] | Goals: 36 | Assists: 5
[Cristiano Ronaldo] | [Juventus] | [2017/2018] | Goals: 28 | Assists: 10
[Cristiano Ronaldo] | [Real Madrid] | [2016/2017] | Goals: 42 | Assists: 11
[Cristiano Ronaldo] | [Real Madrid] | [2015/2016] | Goals: 51 | Assists: 15
[Neymar] | [AL Hilal] | [2023/2024] | Goals: 1 | Assists: 2
[Neymar] | [PSG] | [2022/2023] | Goals: 18 | Assists: 16
[Neymar] | [PSG] | [2021/2022] | Goals: 13 | Assists: 8
[Neymar] | [PSG] | [2020/2021] | Goals: 17 | Assists: 7
[Neymar] | [PSG] | [2019/2020] | Goals: 19 | Assists: 11
[Neymar] | [PSG] | [2018/2019] | Goals: 23 | Assists: 10
[Neymar] | [PSG] | [2017/2018] | Goals: 28 | Assists: 16
[Neymar] | [Barcelona] | [2016/2017] | Goals: 20 | Assists: 21
[Neymar] | [Barcelona] | [2015/2016] | Goals: 31 | Assists: 20
[Kylian Mbappe] | [PSG] | [2023/2024] | Goals: 44 | Assists: 10
[Kylian Mbappe] | [PSG] | [2022/2023] | Goals: 41 | Assists: 9
[Kylian Mbappe] | [PSG] | [2021/2022] | Goals: 39 | Assists: 21
[Kylian Mbappe] | [PSG] | [2020/2021] | Goals: 42 | Assists: 11
[Kylian Mbappe] | [PSG] | [2019/2020] | Goals: 30 | Assists: 14
[Kylian Mbappe] | [PSG] | [2018/2019] | Goals: 39 | Assists: 13
[Kylian Mbappe] | [PSG] | [2017/2018] | Goals: 21 | Assists: 13
[Kylian Mbappe] | [Monaco] | [2016/2017] | Goals: 0 | Assists: 0
[Kylian Mbappe] | [Monaco] | [2015/2016] | Goals: 26 | Assists: 8
[Mohamed Salah] | [Liverpool] | [2023/2024] | Goals: 25 | Assists: 13
[Mohamed Salah] | [Liverpool] | [2022/2023] | Goals: 30 | Assists: 16
[Mohamed Salah] | [Liverpool] | [2021/2022] | Goals: 31 | Assists: 15
[Mohamed Salah] | [Liverpool] | [2020/2021] | Goals: 31 | Assists: 6
[Mohamed Salah] | [Liverpool] | [2019/2020] | Goals: 23 | Assists: 13
[Mohamed Salah] | [Liverpool] | [2018/2019] | Goals: 27 | Assists: 10
[Mohamed Salah] | [Liverpool] | [2017/2018] | Goals: 44 | Assists: 14
[Mohamed Salah] | [Roma] | [2016/2017] | Goals: 19 | Assists: 12
[Mohamed Salah] | [Roma] | [2015/2016] | Goals: 15 | Assists: 6
[Kamir Benzema] | [AL Ittihad] | [2023/2024] | Goals: 16 | Assists: 9
[Kamir Benzema] | [Real Madrid] | [2022/2023] | Goals: 31 | Assists: 6
[Kamir Benzema] | [Real Madrid] | [2021/2022] | Goals: 44 | Assists: 15
[Kamir Benzema] | [Real Madrid] | [2020/2021] | Goals: 30 | Assists: 9
[Kamir Benzema] | [Real Madrid] | [2019/2020] | Goals: 27 | Assists: 11
[Kamir Benzema] | [Real Madrid] | [2018/2019] | Goals: 30 | Assists: 10
[Kamir Benzema] | [Real Madrid] | [2017/2018] | Goals: 12 | Assists: 11
[Kamir Benzema] | [Real Madrid] | [2016/2017] | Goals: 19 | Assists: 7
[Kamir Benzema] | [Real Madrid] | [2015/2016] | Goals: 28 | Assists: 7
[Vinicius Junior] | [Real Madrid] | [2023/2024] | Goals: 24 | Assists: 9
[Vinicius Junior] | [Real Madrid] | [2022/2023] | Goals: 23 | Assists: 19
[Vinicius Junior] | [Real Madrid] | [2021/2022] | Goals: 22 | Assists: 16
[Vinicius Junior] | [Real Madrid] | [2020/2021] | Goals: 6 | Assists: 4
[Vinicius Junior] | [Real Madrid] | [2019/2020] | Goals: 5 | Assists: 3
[Vinicius Junior] | [Real Madrid] | [2018/2019] | Goals: 4 | Assists: 8
[Vinicius Junior] | [Real Madrid Castilla] | [2017/2018] | Goals: 4 | Assists: 0
[Vinicius Junior] | [Flamengo] | [2016/2017] | Goals: 10 | Assists: 3
[Vinicius Junior] | [Flamengo] | [2015/2016] | Goals: 4 | Assists: 1
[Paul Pogba] | [Juventus] | [2023/2024] | Goals: 0 | Assists: 0
[Paul Pogba] | [Juventus] | [2022/2023] | Goals: 0 | Assists: 1
[Paul Pogba] | [Man United] | [2021/2022] | Goals: 1 | Assists: 9
[Paul Pogba] | [Man United] | [2020/2021] | Goals: 6 | Assists: 6
[Paul Pogba] | [Man United] | [2019/2020] | Goals: 1 | Assists: 3
[Paul Pogba] | [Man United] | [2018/2019] | Goals: 16 | Assists: 11
[Paul Pogba] | [Man United] | [2017/2018] | Goals: 6 | Assists: 12
[Paul Pogba] | [Man United] | [2016/2017] | Goals: 9 | Assists: 6
[Paul Pogba] | [Juventus] | [2015/2016] | Goals: 10 | Assists: 15
[Antoine Griezmann] | [Atletico Madrid] | [2023/2024] | Goals: 24 | Assists: 8
[Antoine Griezmann] | [Atletico Madrid] | [2022/2023] | Goals: 16 | Assists: 18
[Antoine Griezmann] | [Atletico Madrid] | [2021/2022] | Goals: 8 | Assists: 6
[Antoine Griezmann] | [Barcelona] | [2020/2021] | Goals: 0 | Assists: 0
[Antoine Griezmann] | [Barcelona] | [2019/2020] | Goals: 20 | Assists: 12
[Antoine Griezmann] | [Barcelona] | [2018/2019] | Goals: 15 | Assists: 4
[Antoine Griezmann] | [Atletico Madrid] | [2017/2018] | Goals: 21 | Assists: 11
[Antoine Griezmann] | [Atletico Madrid] | [2016/2017] | Goals: 29 | Assists: 13
[Antoine Griezmann] | [Atletico Madrid] | [2015/2016] | Goals: 32 | Assists: 6
[Ilkay Gundogan] | [Barcelona] | [2023/2024] | Goals: 5 | Assists: 14
[Ilkay Gundogan] | [Man City] | [2022/2023] | Goals: 11 | Assists: 6
[Ilkay Gundogan] | [Man City] | [2021/2022] | Goals: 10 | Assists: 7
[Ilkay Gundogan] | [Man City] | [2020/2021] | Goals: 17 | Assists: 4
[Ilkay Gundogan] | [Man City] | [2019/2020] | Goals: 5 | Assists: 4
[Ilkay Gundogan] | [Man City] | [2018/2019] | Goals: 6 | Assists: 8
[Ilkay Gundogan] | [Man City] | [2017/2018] | Goals: 6 | Assists: 7
[Ilkay Gundogan] | [Man City] | [2016/2017] | Goals: 5 | Assists: 1
[Ilkay Gundogan] | [Dortmund] | [2015/2016] | Goals: 3 | Assists: 5
[Harry Kane] | [Bayern Munchen] | [2023/2024] | Goals: 44 | Assists: 12
[Harry Kane] | [Tottenham] | [2022/2023] | Goals: 32 | Assists: 5
[Harry Kane] | [Tottenham] | [2021/2022] | Goals: 27 | Assists: 10
[Harry Kane] | [Tottenham] | [2020/2021] | Goals: 33 | Assists: 17
[Harry Kane] | [Tottenham] | [2019/2020] | Goals: 24 | Assists: 2
[Harry Kane] | [Tottenham] | [2018/2019] | Goals: 24 | Assists: 6
[Harry Kane] | [Tottenham] | [2017/2018] | Goals: 41 | Assists: 4
[Harry Kane] | [Tottenham] | [2016/2017] | Goals: 35 | Assists: 7
[Harry Kane] | [Tottenham] | [2015/2016] | Goals: 28 | Assists: 2
[Thomas Muller] | [Bayern Munchen] | [2023/2024] | Goals: 7 | Assists: 10
[Thomas Muller] | [Bayern Munchen] | [2022/2023] | Goals: 8 | Assists: 11
[Thomas Muller] | [Bayern Munchen] | [2021/2022] | Goals: 13 | Assists: 22
[Thomas Muller] | [Bayern Munchen] | [2020/2021] | Goals: 15 | Assists: 19
[Thomas Muller] | [Bayern Munchen] | [2019/2020] | Goals: 14 | Assists: 25
[Thomas Muller] | [Bayern Munchen] | [2018/2019] | Goals: 9 | Assists: 12
[Thomas Muller] | [Bayern Munchen] | [2017/2018] | Goals: 9 | Assists: 15
[Thomas Muller] | [Bayern Munchen] | [2016/2017] | Goals: 9 | Assists: 15
